id,child_part_number_id,uom_id,bom,created_at,updated_at
1,1,1,1.403,NULL,NULL
2,3,1,1.403,NULL,NULL
3,4,1,1.416,NULL,NULL
4,2,1,1.351,NULL,NULL
5,5,1,1.006,NULL,NULL
6,6,1,1.768,NULL,NULL
7,7,1,3.946,NULL,NULL
8,8,1,3.946,NULL,NULL
9,9,1,4.429,NULL,NULL
10,10,1,4.776,NULL,NULL
11,11,1,4.776,NULL,NULL
12,12,1,4.460,NULL,NULL
13,13,1,4.460,NULL,NULL
14,14,1,4.208,NULL,NULL
15,15,1,4.208,NULL,NULL
16,16,1,4.993,NULL,NULL
17,17,1,4.993,NULL,NULL
18,18,1,7.889,NULL,NULL
19,19,1,7.889,NULL,NULL
20,20,1,4.528,NULL,NULL
21,21,1,4.528,NULL,NULL
22,24,1,4.728,NULL,NULL
23,25,1,4.728,NULL,NULL
24,26,1,4.780,NULL,NULL
25,27,1,4.780,NULL,NULL
26,33,1,2.714,NULL,NULL
27,34,1,2.714,NULL,NULL
28,35,1,2.836,NULL,NULL
29,36,1,2.836,NULL,NULL
30,37,1,2.721,NULL,NULL
31,38,1,2.721,NULL,NULL
32,39,1,2.741,NULL,NULL
33,40,1,2.741,NULL,NULL
34,41,1,2.175,NULL,NULL
35,42,1,2.175,NULL,NULL
36,43,1,2.836,NULL,NULL
37,44,1,2.836,NULL,NULL
38,45,1,4.147,NULL,NULL
39,46,1,4.147,NULL,NULL
40,45,1,4.025,NULL,NULL
41,46,1,4.025,NULL,NULL
42,47,1,4.344,NULL,NULL
43,48,1,4.344,NULL,NULL
44,49,1,4.523,NULL,NULL
45,50,1,4.523,NULL,NULL
46,51,1,3.598,NULL,NULL
47,52,1,3.598,NULL,NULL
48,53,1,3.924,NULL,NULL
49,54,1,3.924,NULL,NULL
50,55,1,2.836,NULL,NULL
51,56,1,2.836,NULL,NULL
52,57,1,4.509,NULL,NULL
53,58,1,4.509,NULL,NULL
54,59,1,0.134,NULL,NULL
55,60,1,0.274,NULL,NULL
56,61,1,0.408,NULL,NULL
57,60,1,0.274,NULL,NULL
58,62,1,0.332,NULL,NULL
59,63,1,0.589,NULL,NULL
60,64,1,0.307,NULL,NULL
61,65,1,0.368,NULL,NULL
62,67,1,0.442,NULL,NULL
63,67,1,0.332,NULL,NULL
64,68,1,0.442,NULL,NULL
65,59,1,0.560,NULL,NULL
66,70,1,0.270,NULL,NULL
