id,part_type_id,name,description,project_name,revision_number,status,deleted_at,created_at,updated_at
1,1,29192957,NULL,NULL,8,1,NULL,06-01-2023,06-01-2023
2,1,29196568,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
3,1,29191026,NULL,NULL,8,1,NULL,06-01-2023,06-01-2023
4,1,29190910,NULL,NULL,9,1,NULL,06-01-2023,06-01-2023
5,2,29191612,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
6,2,29194537,NULL,NULL,6,1,NULL,06-01-2023,06-01-2023
7,1,29500708,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
8,1,29500709,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
9,1,29501067,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
10,1,29500807,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
11,1,29500808,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
12,1,29501202,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
13,1,29501203,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
14,1,29500696,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
15,1,29500697,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
16,1,29500858,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
17,1,29500859,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
18,1,29501441,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
19,1,29501442,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
20,1,29195052,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
21,1,29195053,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
22,1,29195324,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
23,1,29195325,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
24,1,29501118,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
25,1,29501119,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
26,1,29501135,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
27,1,29501136,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
28,1,29500682,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
29,1,29500683,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
30,1,29500585,NULL,NULL,6,1,NULL,06-01-2023,06-01-2023
31,1,29500586,NULL,NULL,6,1,NULL,06-01-2023,06-01-2023
32,1,29200331,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
33,2,29500386,NULL,NULL,5,1,NULL,06-01-2023,06-01-2023
34,2,29500387,NULL,NULL,5,1,NULL,06-01-2023,06-01-2023
35,2,29500466,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
36,2,29500467,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
37,2,29500476,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
38,2,29500477,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
39,2,29500831,NULL,NULL,6,1,NULL,06-01-2023,06-01-2023
40,2,29500832,NULL,NULL,6,1,NULL,06-01-2023,06-01-2023
41,2,29500851,NULL,NULL,5,1,NULL,06-01-2023,06-01-2023
42,2,29500852,NULL,NULL,5,1,NULL,06-01-2023,06-01-2023
43,2,29500958,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
44,2,29500959,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
45,2,29196265,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
46,2,29196266,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
47,2,29198539,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
48,2,29198540,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
49,2,29196584,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
50,2,29196585,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
51,2,29198339,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
52,2,29198340,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
53,2,29191312,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
54,2,29191313,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
55,2,29198486,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
56,2,29198487,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
57,2,29501487,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
58,2,29501488,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
59,1,29192116,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
60,1,29195322,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
61,1,29192115,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
62,1,29196926,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
63,1,29193880,NULL,NULL,4,1,NULL,06-01-2023,06-01-2023
64,1,29198560,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
65,1,29195515,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
66,1,29196526,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
67,1,29193881,NULL,NULL,3,1,NULL,06-01-2023,06-01-2023
68,1,29195459,NULL,NULL,2,1,NULL,06-01-2023,06-01-2023
69,1,29200333,NULL,NULL,1,1,NULL,06-01-2023,06-01-2023
70,2,29194713,NULL,NULL,5,1,NULL,06-01-2023,06-01-2023
